company_name,location,objective_signal,title_match,open_roles,priority,fit,source
Maa Kudargarhi Group,"Raipur, Chhattisgarh",,Chief Marketing Officer (CMO) – Alumina & Food Division,4,low,low,Indeed
Machinfabrik Industries,Navi Mumbai,,,4,low,low,Naukri
Madhuraj Hospital,,,,4,low,low,Naukri
Mage Data,Bengaluru,,,16,low,low,Naukri
Maker Lab,Gurugram,us market,,4,medium,medium,Naukri
Makunai Global,"Gautam Buddha Nagar, Uttar Pradesh, India",,,4,low,low,LinkedIn
Makunai Global Technologies,Noida,,,4,low,low,Naukri
Mantra Properties,Mumbai(Jogeshwari),,,4,low,low,Naukri
Manubhai Gems,Mumbai,,,4,low,low,Naukri
Manufacturing Industry,Pune,,,4,low,low,Naukri
"Marriott International, Inc",Andhra Pradesh,,,8,low,low,Indeed
Maruthamalai Balakumaran Jewellers Llp,Hosur(Hosur Bagalur Road),,,4,low,low,Naukri
McFadyen Solution,Thiruvananthapuram,,,12,low,low,Naukri
Meta,Mumbai Metropolitan Region,north america,,8,low,low,LinkedIn
MetaMorph,"Hyderabad, Telangana, India",,,4,low,low,LinkedIn
MiQ Digital,Mumbai,,,4,low,low,Greenhouse
Michael Page,"Gurgaon, Haryana, India",,,4,low,low,LinkedIn
Mitr Hr Solution,Noida,,,4,low,low,Naukri
Monster Energy APAC,India,,,8,low,low,Greenhouse
Moris Media,Noida,,Chief Marketing Officer (CMO),8,low,low,Naukri
Morse Code Marine Services,Mumbai,,,4,low,low,Naukri
Movate,"Chennai, Tamil Nadu, India",us market,,4,medium,medium,LinkedIn
Myntra,"Bengaluru, Karnataka, India",,,4,low,low,LinkedIn
NAHAR GROUP,Mumbai,,,4,low,low,Naukri
NS Property Guide Advisors,Hyderabad,,,4,low,low,Naukri
Narsingh Ispat,Kolkata,,,4,low,low,Naukri
Narwal,India,"US buying landscape, US market(s)",Demand Generation Manager,4,medium,medium,LinkedIn
National Utility Choice Program LLC,"New Delhi, Delhi, India",united states,"Head of Marketing, Brand Growth and Strategy - Part Time",4,medium,medium,LinkedIn
Navi,"Bengaluru, Karnataka, India",,,4,low,low,LinkedIn
Nestasia,"Kolkata, West Bengal, India",,,4,low,low,LinkedIn
New Relic,"Bangalore, India",,,4,low,low,Greenhouse
Next Pathway,Hybrid - Pune(Hinjawadi Village),,,4,low,low,Naukri
Neysa Networks - Careers Page,"Mumbai, Maharashtra, India",,,4,low,low,Greenhouse
Nilkamal Limited,"Mumbai, Maharashtra, India",,,4,low,low,LinkedIn
Novo Nordisk,Bengaluru,,,4,low,low,Naukri
Nutrabay,"Gurugram, Haryana, India",,,4,low,low,LinkedIn
O2 Spa,Hyderabad,,,4,low,low,Naukri
OLIVER Agency - APAC,"Mumbai, India",,,76,low,low,Greenhouse
OLIVER | The Brandtech Group,Mumbai Metropolitan Region,,,4,low,low,LinkedIn
Oliver Agency,Gurugram,,,4,low,low,Naukri
Oliver Rubber,Jodhpur(Shastri Nagar),,,4,low,low,Naukri
Optum,Gurugram,"US healthcare market, US stakeholders/teams",Senior Manager - B2B Product Marketing,8,medium,medium,Naukri
Organik Thread Solutions,"Hyderabad, Telangana, India",,Co-Founder/ CMO,4,low,low,LinkedIn
Ozone Overseas,Gurugram,,,8,low,low,Naukri
PHC Partners,"Gurugram, Haryana, India",,Head of Marketing,4,medium,medium,LinkedIn
Pan Oleo Energy,Chennai,,,4,low,low,Naukri
Patel Infrastructure,Anand,,,4,low,low,Naukri
Pathkind Labs,Hybrid - Gurugram,,,4,low,low,Naukri
Payton Healthcare Solutions,"Bangalore Urban, Karnataka, India",,,4,low,low,LinkedIn
Pearlsoft Technology,Chennai,,,4,low,low,Naukri
People Mint Hr Consulting,Kolkata,,,4,low,low,Naukri
Pepper,"Mumbai, Maharashtra, India",US market(s),Head of Demand Generation (US Market),7,medium,medium,LinkedIn
