company_name,location,objective_signal,title_match,open_roles,priority,fit,source
Nestasia,"Kolkata, West Bengal, India",,,10,low,low,LinkedIn
New Relic,"Bangalore, India",pipeline,,10,low,low,Greenhouse
Next Pathway,Hybrid - Pune(Hinjawadi Village),pipeline,,10,low,low,Naukri
Neysa Networks - Careers Page,"Mumbai, Maharashtra, India",,,10,low,low,Greenhouse
Nilkamal Limited,"Mumbai, Maharashtra, India",,,10,low,low,LinkedIn
Novo Nordisk,Bengaluru,,,10,low,low,Naukri
Nutrabay,"Gurugram, Haryana, India",,,10,low,low,LinkedIn
O2 Spa,Hyderabad,,,10,low,low,Naukri
OLIVER Agency - APAC,"Mumbai, India",go to market,Head of Growth,190,low,low,Greenhouse
OLIVER | The Brandtech Group,Mumbai Metropolitan Region,pipeline,Head of Growth,10,low,low,LinkedIn
Oliver Agency,Gurugram,,,10,low,low,Naukri
Oliver Rubber,Jodhpur(Shastri Nagar),,,10,low,low,Naukri
Optum,Gurugram,"US healthcare market, US stakeholders/teams",Senior Manager - B2B Product Marketing,20,medium,medium,Naukri
Organik Thread Solutions,"Hyderabad, Telangana, India",,Co-Founder/ CMO,10,low,low,LinkedIn
Ozone Overseas,Gurugram,,,20,low,low,Naukri
PHC Partners,"Gurugram, Haryana, India",,Head of Marketing,10,medium,medium,LinkedIn
Pan Oleo Energy,Chennai,,Chief Marketing Officer,10,low,low,Naukri
Patel Infrastructure,Anand,,,10,low,low,Naukri
Pathkind Labs,Hybrid - Gurugram,,,10,low,low,Naukri
Payton Healthcare Solutions,"Bangalore Urban, Karnataka, India",,Head of Growth & Marketing – Cashless Healthcare,10,low,low,LinkedIn
Pearlsoft Technology,Chennai,,Product Marketing Manager,10,low,low,Naukri
People Mint Hr Consulting,Kolkata,,,10,low,low,Naukri
Pepper,"Mumbai, Maharashtra, India",US market(s),Head of Demand Generation (US Market),13,medium,medium,LinkedIn
Persistent,"Pune, Maharashtra",,,10,low,low,Indeed
Persistent Systems,"Pune City, Maharashtra, India",pipeline,,10,low,low,LinkedIn
Plaud,JAPAC | India,us market,,10,medium,medium,Ashby
Plum,"Bengaluru, Karnataka, India",,,10,low,low,LinkedIn
Plush,"Bengaluru, Karnataka, India",,,10,low,low,LinkedIn
Polygon Labs,Remote,,Product Marketing Manager,10,low,low,Indeed
Posidex Technologies,Hyderabad,pipeline,,10,low,low,Naukri
Position2,Bengaluru,,,10,low,low,Naukri
Procter & Gamble,Mumbai Metropolitan Region,,,10,low,low,LinkedIn
Prolim,Bengaluru,"North America market/customers, US market(s)",Demand Generation Lead,20,medium,medium,Naukri
Publicis Groupe,"Gurugram, Haryana, India",,,10,low,low,LinkedIn
Publicis Sapient,Gurugram,,,10,low,low,Naukri
Purplle.com,Mumbai Metropolitan Region,pipeline,,10,low,low,LinkedIn
QSR,Jaipur,,,10,low,low,Naukri
QpiAI,"Bangalore Urban, Karnataka, India",,,10,low,low,LinkedIn
Qrata,Bengaluru,,Product Marketing Manager,10,low,low,Naukri
"Queen Elizabeth’s School, Gurugram","Gurugram, Haryana, India",us market,Head of Marketing,10,high,high,LinkedIn
QuillBot,India,united states,,20,low,low,LinkedIn
RC Project Consultancy,Surat,,,10,low,low,Naukri
Race,Jaipur,,,10,low,low,Naukri
