id,site,title,companyName,location,jobUrl,datePosted,jobType,isRemote,minAmount,maxAmount,currency,interval,description
nk-210526008380,naukri,Marketing Manager,Mantra Properties,Mumbai(Jogeshwari),https://www.naukri.com/job-listings-marketing-manager-mantra-properties-mumbai-6-to-10-years-210526008380,2026-05-21,6-10 Yrs,false,,,,,"1. Strategy & ExecutionLocal Activation & Events: Plan, organize, and execute local ex..."
nk-180526004652,naukri,Marketing Manager,Gadgeon Smart Systems,Kochi,https://www.naukri.com/job-listings-marketing-manager-gadgeon-smart-systems-kochi-8-to-11-years-180526004652,2026-05-18,8-11 Yrs,false,,,,,"8 10 years of experience in marketing, corporate communications, or brand managementExp..."
nk-190526501288,naukri,Marketing Manager,Morse Code Marine Services,Mumbai,https://www.naukri.com/job-listings-marketing-manager-morse-code-marine-services-pvt-ltd-mumbai-2-to-7-years-190526501288,2026-05-19,2-7 Yrs,false,,,,,"Proven experience in marketing management, preferably in a similar industry. . Strong u..."
nk-130526031864,naukri,Marketing Manager,Flentis Corporation,Noida,https://www.naukri.com/job-listings-marketing-manager-opusing-information-services-noida-3-to-8-years-130526031864,2026-05-20,3-8 Yrs,false,,,,,Product Marketing Executive / Product Marketing ManagerCompany: Flentis Industry: B2B ...
nk-220526021053,naukri,Marketing Manager,CIEL HR,Tirunelveli,https://www.naukri.com/job-listings-marketing-manager-ciel-hr-tirunelveli-3-to-8-years-220526021053,2026-05-22,3-8 Yrs,false,,,,,Interview Process . -HR Round Management Round Final Discussion . Real estate industry ...
nk-250526501880,naukri,Marketing Manager,B K Arogyam,"Varanasi, Bengaluru",https://www.naukri.com/job-listings-marketing-manager-b-k-arogyam-varanasi-bengaluru-0-to-1-years-250526501880,2026-05-25,0-1 Yrs,false,,,,,"The Marketing Manager will be responsible for developing, implementing, and executing ..."
nk-140526026518,naukri,Scannhum | Marketing Manager/ Executive | Ahmedabad,Reputed Real - Estate Company,Ahmedabad,https://www.naukri.com/job-listings-scannhum-marketing-manager-executive-ahmedabad-scannhum-ahmedabad-4-to-9-years-140526026518,2026-05-18,4-9 Yrs,false,,,,,Sales & Marketing Executive . Qualification: Bachelors Degree in Marketing.  Proficient...
nk-250526001443,naukri,Marketing Manager,Sankara Eye Hospital,Shimoga,https://www.naukri.com/job-listings-marketing-manager-sankara-eye-hospital-shimoga-4-to-9-years-250526001443,2026-05-25,4-9 Yrs,false,,,,,Markerting Manager
nk-210526007475,naukri,Head of D2C Growth,Deconstruct,Bengaluru(HSR Layout),https://www.naukri.com/job-listings-head-of-d2c-growth-interviewpanel-bengaluru-4-to-9-years-210526007475,2026-05-21,4-9 Yrs,false,,,,,Preferred (Good to Have): . Experience : 5-8 years . Employment Type : Full-time Custom...
nk-110526002910,naukri,Head of Growth,Lykora Consulting,Mumbai,https://www.naukri.com/job-listings-head-of-growth-lykora-consulting-mumbai-15-to-20-years-110526002910,2026-05-11,15-20 Yrs,false,,,,,"Analyze market trends, competitor activity, and customer needs to inform sales strategy..."
nk-290426024644,naukri,Head of Growth,Confidential Startup,Gurugram,https://www.naukri.com/job-listings-head-of-growth-jeniya-pruthi-gurugram-4-to-7-years-290426024644,2026-05-04,4-7 Yrs,false,,,,,"47 years of experience in agency, business development, partnerships, client servicing ..."
nk-200526034383,naukri,Head of Growth &amp; Revenue Operations,Fortuna Retail,Gurugram(MG Road),https://www.naukri.com/job-listings-head-of-growth-revenue-operations-gempundit-gurugram-5-to-8-years-200526034383,2026-05-20,5-8 Yrs,false,,,,,Minimum 4 years of hands-on PPC ownership Google Ads and Meta with direct ROAS accounta...
nk-140526034684,naukri,"Head, Visual Merchandising &amp; Growth",Well reputed client having good work ethics,"Hyderabad, Chennai, Bengaluru",https://www.naukri.com/job-listings-head-visual-merchandising-growth-achyutam-international-hyderabad-chennai-bengaluru-4-to-5-years-140526034684,2026-05-18,4-5 Yrs,false,,,,,Qualification: MBA from Top Tier InstitutionsExperience: 4-5+ years of experience in re...
nk-140526016537,naukri,Sales &amp; Growth - Head,Bean Hr Consulting,Jaipur,https://www.naukri.com/job-listings-sales-growth-head-bean-hr-consulting-jaipur-6-to-11-years-140526016537,2026-05-18,6-11 Yrs,false,,,,,Collaborates with AMs / RMs on sales calls only (not daily ops) Proven Sales / Growth e...
nk-130526044802,naukri,Head of E-Commerce &amp; Digital Revenue Growth,Action Tour Guide,"Mumbai(Andheri East), Mumbai (All Areas)",https://www.naukri.com/job-listings-head-of-e-commerce-digital-revenue-growth-action-tour-guide-mumbai-mumbai-all-areas-10-to-15-years-130526044802,2026-05-18,10-15 Yrs,false,,,,,"Head of E-Commerce & Digital Revenue GrowthLocation: Marol, Andheri (E), Mumbai Work M..."
nk-150526032645,naukri,Head - Cafe Sales &amp; Growth,QSR,Jaipur,https://www.naukri.com/job-listings-head-cafe-sales-growth-core-connect-hr-consultants-jaipur-4-to-7-years-150526032645,2026-05-18,4-7 Yrs,false,,,,,Revenue & Sales Strategy Multi-Channel Growth (The Sales Funnel) Data Analytics & Marke...
nk-020526004225,naukri,Head of Brand and Growth,Vinayak Annapurna Associates Llp,Kolkata,https://www.naukri.com/job-listings-head-of-brand-and-growth-vinayak-annapurna-associates-llp-kolkata-3-to-8-years-020526004225,2026-05-04,3-8 Yrs,false,,,,,"Premium F&B, casual F&B, and sports / lifestyle experience all count what you re walkin..."
nk-210526503420,naukri,Digital Demand Generation Campaign Manager (Digital Hub),SAP,Bengaluru,https://www.naukri.com/job-listings-digital-demand-generation-campaign-manager-digital-hub-sap-india-pvt-ltd-bengaluru-5-to-10-years-210526503420,2026-05-21,5-10 Yrs,false,,,,,Bachelors degree in Business Administration or Marketing or Information Technology requ...
nk-190526501323,naukri,Demand Generation Program Manager,Alorica,Bengaluru,https://www.naukri.com/job-listings-demand-generation-program-manager-alorica-india-private-limited-bengaluru-2-to-6-years-190526501323,2026-05-19,2-6 Yrs,false,,,,,Proven experience in demand generation and program management. . Strong analytical and ...
nk-150526029447,naukri,Demand Generation Manager (ABM Focus),SteepGraph,Pune,https://www.naukri.com/job-listings-demand-generation-manager-abm-focus-steepgraph-pune-4-to-8-years-150526029447,2026-05-18,4-8 Yrs,false,,,,,"Experience . 510 years of experience in B2B demand generation, growth marketing, or cam..."
nk-120526025832,naukri,Demand Generation Manager,LatentView,Hyderabad,https://www.naukri.com/job-listings-demand-generation-manager-latentview-hyderabad-4-to-7-years-120526025832,2026-05-18,4-7 Yrs,false,,,,,"Analyze market trends, competitor activity, and customer needs to inform demand generat..."
nk-290426505933,naukri,Demand Generation Manager,Intellve Solutions,Mumbai,https://www.naukri.com/job-listings-demand-generation-manager-intellve-solutions-limited-mumbai-1-to-5-years-290426505933,2026-05-04,1-5 Yrs,false,,,,,Develop and implement effective demand generation strategies to drive business growth...
nk-010526021385,naukri,Demand Generation Manager,Fertis India,"Anantapur, Nagpur, Vadodara",https://www.naukri.com/job-listings-demand-generation-manager-fertis-india-anantapur-nagpur-vadodara-8-to-13-years-010526021385,2026-05-04,8-13 Yrs,false,,,,,Role SummaryTo execute and operationalise demand generation strategies at the territor...
